Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,..,..,12439087076.7667,15856574731.4411,17804280538.1102,20001615788.6719,20561054090.3995,20484873230.2111,19907111418.9938,19362642266.6484,20191764940.1602,19362969582.3643
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,2028553750,3480355188.60063,12044208085.864,11926953213.6961,12890866742.6533,12319784886.2038,12776280961.155,13228247844.1247,11386931489.7968,11861352704.87,13025062195.7906,15058879128.6536
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,62045099642.7774,54790245600.5846,137211039898.193,161207268655.392,200019057307.655,209058991952.125,209755003250.664,213810022462.428,165979277276.907,160129866569.935,167555280113.181,180689115940.685
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,..,..,678000000,576000000,574000000,644000000,641000000,643000000,661000000,653000000,634000000,..
GDP (current US$),NY.GDP.MKTP.CD,Andorra,AND,1029048481.88051,1434429703.33518,3660530702.97305,3355695364.23841,3442062830.13622,3164615186.94591,3281585236.32501,3350736367.25488,2811489408.89431,2877311946.90265,3013387423.93509,3236543909.34844
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,11228764963.1618,9129594818.60749,70307163678.238,83799496611.2004,111789686464.441,128052853643.106,136709862831.194,145712200312.505,116193649124.151,101123851090.455,122123822333.591,105750987618.63
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,459469058.888889,830158777.777778,1224253000,1152469074.07407,1142042925.92593,1211411703.7037,1192919629.62963,1275576777.77778,1359194740.74074,1464630213.33333,1510084750.74074,1623804016.2963
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,141352368714.691,284203750000,332976484577.619,423627422092.49,530163281574.658,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557531376217.967,642695864756.35,518475134084.357
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,2256838858.42714,1911563665.39006,8647936747.98704,9260284937.79782,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7543,10553337672.9872,10546135160.031,11527458565.7334,12433089919.0459
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,764887117.194486,1873452513.96648,2498882681.56425,2390502793.29609,2549720670.39106,2534636871.50838,2581564245.81006,2649720670.39106,2691620111.73184,2646927374.30168,2700558659.21788,..
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,310774913428.242,415222633925.768,927805183330.879,1146138465603.81,1396649906339.35,1546151783872.96,1576184467015.49,1467483705131.74,1351520093185.79,1210028388411.7,1330803227996.08,1432195178668.32
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,166463386663.439,196799778883.361,400172297860.517,391892746544.69,431120310088.82,409425234155.263,430068712971.867,441996131736.508,381805676697.707,394052818287.788,416835975862.194,455736580716.185
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,8858006035.91566,5272617196.04517,44291490420.5026,52902703376.1056,65951627200.2026,69683935845.2138,74164435946.4627,75244294275.1498,53074468085.1064,37867518957.1975,40865558912.3867,46939529411.7647
GDP (current US$),NY.GDP.MKTP.CD,"Bahamas, The",BHS,3166000000,8076470000,9981960000,10095760000,10070450000,10720500000,10627600000,10957300000,11792300000,11838800000,12162100000,..
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,4229787234.04255,9062906914.89362,22938218085.1064,25713271276.5957,28776595744.6809,30749308510.6383,32539547872.3404,33387712765.9575,31125851063.8298,32250132978.7234,35432686170.2128,37746196808.5106
GDP (current US$),NY.GDP.MKTP.CD,Bangladesh,BGD,31598341233.559,53369787318.6245,102477791472.39,115279077465.226,128637938711.386,133355749482.478,149990451022.29,172885454931.453,195078678697.23,221415188000.475,249723862487.361,274024958965.892
GDP (current US$),NY.GDP.MKTP.CD,Barbados,BRB,2023318251.8769,3121500000,4479950000,4529900000,4660900000,4656350000,4612500000,4608350000,4584150000,4529050000,4673500000,..
GDP (current US$),NY.GDP.MKTP.CD,Belarus,BLR,21650000000,12736856827.9847,50874078052.2735,58665088956.0255,61757788944.7236,65685102554.8759,75527984234.2342,78813839984.3506,56454734396.5842,47722657820.6675,54726595249.1849,59662495092.2654
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,206430841501.69,237904919845.218,484552792442.345,483548031197.108,527008453886.929,497884216568.867,520925468952.938,530808391525.11,455940347170.37,469677213719.194,494901708704.269,531766935070.733
GDP (current US$),NY.GDP.MKTP.CD,Belize,BLZ,412086445.492177,832072450,1335217500,1396731700,1486595750,1563827850,1608442150,1692955750,1762500450,1806646250,1862614800,1925000000
GDP (current US$),NY.GDP.MKTP.CD,Benin,BEN,1959965243.76269,2569186642.86999,7097198711.61023,6970240895.49888,7814081155.64988,8152554487.31321,9157355679.70205,9707432015.61441,8291155880.59505,8573159696.61128,9246696923.66155,10358985583.235
GDP (current US$),NY.GDP.MKTP.CD,Bermuda,BMU,1592400000,3480219000,5806378000,5744414000,5550771000,5537537000,5573710000,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Bhutan,BTN,299787275.842376,439158233.199822,1264758197.96593,1585472534.10547,1820207625.80217,1823692109.61652,1798333725.83954,1976938529.72743,2059809919.89325,2219675780.89539,2528007911.35353,2534965162.78084
GDP (current US$),NY.GDP.MKTP.CD,Bolivia,BOL,4867582620.20708,8397912509.09679,17339992165.2422,19649631450.6819,23963033588.0063,27084497539.7974,30659338784.3705,32996188133.1404,33000198263.3864,33941126193.9219,37508642257.5977,40287647756.8741
GDP (current US$),NY.GDP.MKTP.CD,Bosnia and Herzegovina,BIH,..,5505887894.48893,17613836209.9581,17176781336.7644,18644723860.9709,17226849297.07,18178503835.4491,18558343508.3435,16211541253.1897,16913330693.9653,18080118128.3854,19781776101.3881
GDP (current US$),NY.GDP.MKTP.CD,Botswana,BWA,3790567051.86778,5788329609.15755,10267133177.7334,12786654365.8738,15351972229.5341,16067155187.0375,14901750764.9811,16250750259.0212,14420604205.7459,15646323340.5497,17406565823.2986,18616018903.4434
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,461951782000,655420645476.906,1667019783585.08,2208871646202.82,2616201578192.25,2465188674415.03,2472806456101.29,2455994050148.75,1802214373741.32,1796275437087.99,2053594973992.61,1868626087908.48
GDP (current US$),NY.GDP.MKTP.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Brunei Darussalam,BRN,3520551724.13793,6001153306.2645,10732366286.2643,13707370737.0737,18525319977.7407,19048495518.5659,18093829923.2737,17098342541.4365,12930394937.8137,11400653949.1783,12128088999.9276,13567099497.8279
GDP (current US$),NY.GDP.MKTP.CD,Bulgaria,BGR,20632090909.0909,13153016530.8718,51884481410.3931,50610058210.3696,57418414504.0882,53903022339.0276,55555171009.772,56814543481.2102,50201314894.5817,53240950226.2443,58220973782.7715,65132951116.4756
GDP (current US$),NY.GDP.MKTP.CD,Burkina Faso,BFA,3101301780.95067,2628920056.10098,8369175126.25316,8979966766.07232,10724063457.8326,11166063466.5623,11947176341.9966,12377391462.6377,10419303761.3524,10886363726.8422,12322864244.9183,14441763758.6919
GDP (current US$),NY.GDP.MKTP.CD,Burundi,BDI,1132101252.51817,870486065.883137,1781455092.07114,2032135246.50004,2235820867.82743,2333308099.46249,2451625332.74584,2705783272.07443,3104394858.11518,2959185295.39019,3172416146.3921,3078029929.10347
GDP (current US$),NY.GDP.MKTP.CD,Cabo Verde,CPV,306891107.262039,539227277.626411,1711817181.52969,1664310769.55229,1864824080.69256,1751888561.72747,1850470042.43281,1859898513.26858,1596800287.16405,1662998677.88425,1771235958.20125,1986928611.73543
GDP (current US$),NY.GDP.MKTP.CD,Cambodia,KHM,..,3677897739.07628,10401851850.6108,11242275198.9783,12829541141.0127,14054443213.4639,15227991395.2201,16702610842.4025,18049954289.4229,20016747754.0192,22177200511.5811,24571753583.4922
GDP (current US$),NY.GDP.MKTP.CD,Cameroon,CMR,11151578050.7356,10083937740.0624,26017925551.8426,26143818509.6421,29337006833.0825,29104437355.0395,32348149947.3727,34942948737.3967,30916218544.4404,32621535418.9031,34922782310.6416,38502059858.4389
GDP (current US$),NY.GDP.MKTP.CD,Canada,CAN,593929550908.468,742295468318.632,1371153004986.44,1613542812589.39,1789140665202.84,1823966686523.63,1842018420853.1,1801480123070.82,1552899925233.71,1526705529135.32,1646867220617.47,1709327324240.04
GDP (current US$),NY.GDP.MKTP.CD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,3570575151.26723,..
GDP (current US$),NY.GDP.MKTP.CD,Central African Republic,CAF,1440711395.67069,914500299.097034,2059094048.26019,2140503193.16261,2434792412.50855,2510270267.72918,1700627479.55631,1904794555.18138,1709221159.20294,1844714794.83758,2167501639.76783,2379716827.4977
GDP (current US$),NY.GDP.MKTP.CD,Chad,TCD,1738605558.05432,1385058161.76746,9253484108.49701,10657705536.4978,12156380425.0825,12368071038.7362,12949854262.8127,13922223233.5184,10945989471.6286,10090922857.3905,9975692095.40855,11302544204.9904
GDP (current US$),NY.GDP.MKTP.CD,Channel Islands,CHI,..,6439703434.71024,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Chile,CHL,33113887817.9731,77860932151.8471,172389498444.621,218537551220.071,252251992029.442,267122320056.702,278384332694.359,260541637327.864,243919079437.22,250339876460.228,277746457909.868,298231139609.448
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,360857912565.966,1211346869605.24,5101702432883.45,6087164527421.24,7551500425597.77,8532230724141.76,9570405758739.79,10438529153237.6,11015542352468.9,11137945669350.6,12143491448186.1,13608151864637.9
GDP (current US$),NY.GDP.MKTP.CD,Colombia,COL,47844090709.9908,99886577330.7271,232494134119.684,286103648654.545,334454039093.586,370574421703.06,381866608838.8,381112119657.445,293481748240.779,282825009887.458,311789874617.096,330227866233.324
GDP (current US$),NY.GDP.MKTP.CD,Comoros,COM,429622147.743446,350264287.687331,901711442.285944,907093130.313521,1021746833.42573,1015901205.42028,1115906341.77727,1148058015.47633,988150249.533688,1024261820.6281,1068124329.86257,1203080507.99878
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Dem. Rep.",COD,9349764580.36997,19088046305.7971,18648373312.3884,21565720044.4529,25839749198.7761,29306235826.376,32679745297.6503,35909040265.9532,37917704900.1192,37134799974.4735,38019265625.856,47227535290.9405
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Rep.",COG,2798746050.58228,3219910550.39332,9593537550.75063,12007880438.6232,14425607179.6639,13677930123.5919,14085851348.069,14177437982.2619,8553154580.39951,9035848070.90357,8701334800.21976,11263682694.0393
GDP (current US$),NY.GDP.MKTP.CD,Costa Rica,CRI,5711687786.75989,14949514493.4226,30562363429.7626,37268616183.9711,42262694503.9644,46473131798.8916,49745084869.7148,50577769785.0761,54775997555.6182,57157995872.6843,58174550211.5503,60126014828.5951
GDP (current US$),NY.GDP.MKTP.CD,Cote d'Ivoire,CIV,10795850106.9547,10717022462.6859,24277494337.4,24884503950.6812,25381615976.0786,26790577891.2905,31264184740.6082,35316494573.681,33131113901.4803,35296979104.0186,38053610009.4172,43007045466.3406
GDP (current US$),NY.GDP.MKTP.CD,Croatia,HRV,..,21774273832.1031,62779128128.3747,59865977191.7061,62399478246.2247,56548374544.8951,58157880646.4618,57682343707.5954,49519006809.2676,51623429121.3635,55201417479.3925,60805659436.216
GDP (current US$),NY.GDP.MKTP.CD,Cuba,CUB,28645436569.1489,30565400000,62080000000,64328000000,68990000000,73141000000,77148000000,80656000000,87133000000,91370000000,96851000000,..
GDP (current US$),NY.GDP.MKTP.CD,Curacao,CUW,..,..,..,..,3038699608.93855,3131096089.38548,3147616201.11732,3158406033.51955,3151910782.1229,3122287932.96089,3116610111.73184,..
GDP (current US$),NY.GDP.MKTP.CD,Cyprus,CYP,5591130217.66965,9985843543.82658,25942664629.0636,25562264900.6622,27426994717.8204,25041397918.5404,24084559214.0202,23364707443.2798,19680625485.1946,20453761061.9469,22141864998.8731,24469841831.9169
GDP (current US$),NY.GDP.MKTP.CD,Czech Republic,CZE,40477403219.5176,61649492816.5201,206179982164.402,207477857918.919,227948349666.354,207376427020.815,209402444996.104,207818330723.835,186829940545.759,195090272402.729,215913545038.43,244105215927.35
GDP (current US$),NY.GDP.MKTP.CD,Denmark,DNK,138247261092.977,164158800460.219,321241396034.248,321995350346.501,344003209695.606,327148899962.146,343584385594.132,352993633221.281,302673037998.602,311988101661.744,329865537183.47,351299591462.907
GDP (current US$),NY.GDP.MKTP.CD,Djibouti,DJI,452328087.282876,551230861.856506,1049110684.72493,1128611700.3618,1239144501.77525,1353632941.5207,1324733711.82922,1455035088.74594,1633741922.68737,1764268468.93991,1844674434.50371,1965982321.62953
GDP (current US$),NY.GDP.MKTP.CD,Dominica,DMA,201428730,333468888.888889,489074333.333333,493824413.333333,501025303.333333,485997988.148148,501979134.444444,523540777.777778,540830670,575468234.444445,496726248.518519,503646211.111111
GDP (current US$),NY.GDP.MKTP.CD,Dominican Republic,DOM,7073675544.80847,24305116729.1851,48376555305.6902,53982886258.2205,57811180659.4545,60657780260.6792,62661773591.7203,66065015410.0468,68802092020.9448,72342967648.3354,75931656814.657,81298585403.3004
GDP (current US$),NY.GDP.MKTP.CD,Ecuador,ECU,15239278100.3502,18327764882.4412,62519686000,69555367000,79276664000,87924544000,95129659000,101726331000,99290381000,99937696000,104295862000,108398058000
GDP (current US$),NY.GDP.MKTP.CD,"Egypt, Arab Rep.",EGY,42978914311.3504,99838543960.0763,188982374700.805,218888324504.753,236001858960.015,279372758361.832,288586231501.877,305529656458.438,332698041030.807,332927833278.038,235369129337.711,250895469644.498
GDP (current US$),NY.GDP.MKTP.CD,El Salvador,SLV,4817542204.02673,11784927700,17601616000,18447920000,20283780000,21386160000,21990970000,22593470000,23438240000,24154120000,24927970000,26056950000
GDP (current US$),NY.GDP.MKTP.CD,Equatorial Guinea,GNQ,112119406.548331,1045998496.43872,15027795173.2187,16298542027.9965,21329395900.871,22389626329.3369,21942597765.3631,21736500712.9638,13180195435.1132,11233177619.4663,12289913729.3358,13317453070.3876
GDP (current US$),NY.GDP.MKTP.CD,Eritrea,ERI,..,706370815.584416,1856695551.21951,2117039512.19512,2607739837.39837,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Estonia,EST,..,5685774808.80862,19652492636.8436,19490936349.1753,23170239900.7654,23043864510.0543,25137153149.4377,26615854605.2787,22904456871.8171,23984296770.8115,26611651598.9453,30284890757.0585
GDP (current US$),NY.GDP.MKTP.CD,Eswatini,SWZ,1114703088.1614,1738100853.05052,3580417066.92472,4438778424.30203,4820499924.2539,4823831656.51644,4560713073.91948,4377293816.28535,4020275298.02726,3817430000,4433664364.24725,4703787506.89153
GDP (current US$),NY.GDP.MKTP.CD,Ethiopia,ETH,12175166763.285,8242392103.68061,32437389116.038,29933790334.3418,31952763089.33,43310721414.0829,47648211133.2183,55612228233.5179,64464547915.2698,74271281810.8189,81716326730.819,84355462494.0837
GDP (current US$),NY.GDP.MKTP.CD,Faroe Islands,FRO,..,1058702725.4395,2268387770.71014,2320424601.26954,2490807830.57351,2366301251.61847,2627049837.08135,2850743875.2784,2518096285.61661,2689157270.82312,..,..
GDP (current US$),NY.GDP.MKTP.CD,Fiji,FJI,1337024782.22702,1684109743.49338,2870624635.68032,3140508835.9485,3774530615.65916,3972012570.53467,4190143206.25611,4856963251.97477,4682546881.15833,4926740193.66773,5270335184.70768,5479504926.19335
GDP (current US$),NY.GDP.MKTP.CD,Finland,FIN,141517648888.198,125539893126.958,251499027507.641,247799815768.477,273674236772.815,256706466091.089,269980111642.898,272609288689.575,232850788304.513,239009517793.721,252301837573.029,275683141235.383
