Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,..,..,438.076034406941,543.303041863931,591.16234645088,641.872033785411,637.16504385598,613.856332882312,578.466352941708,547.228110150363,556.302138508508,520.896602719135
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,617.230435515505,1126.68331762741,4114.13489916342,4094.35881639579,4437.17779448652,4247.61434236292,4413.08288688408,4578.66793446159,3952.83078116586,4124.10854308316,4532.88919785143,5253.63006411357
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,2408.68881482248,1765.02257651824,3883.27112717092,4480.78577696483,5455.84230963884,5592.22190972612,5499.58776363606,5493.05677189389,4177.8889657089,3948.81189736204,4048.28525822561,4278.85005953418
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,..,..,11961.2582255703,10271.2245225485,10294.3022651052,11568.7930012395,11505.3937142139,11525.1563872309,11843.3311832581,11714.8956782261,11398.7774181949,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,18878.5059692988,21936.5301014708,43338.8667579064,39736.3540626699,41100.7299382214,38392.9439012206,40626.7516320228,42300.3341276669,36039.6534962289,37224.1089162924,39134.3933706717,42029.7627372989
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,947.704182085371,556.836318086553,3122.78076649385,3587.88379824396,4615.46802807906,5100.09580809767,5254.88233799616,5408.41049555432,4166.97968386501,3506.07288506966,4095.81294155857,3432.38573600893
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,7348.21294282384,10920.8426880891,14113.0772600466,13092.0738182632,12795.5690668765,13399.2379486965,13035.0936407801,13780.7823704952,14526.5880847823,15494.3054718052,15824.6678131824,16864.3833609901
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,4333.48297312146,7708.10099605414,8225.13717626412,10385.9644319555,12848.8641969705,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772,12790.2424732447,14591.8633810541,11652.5662897487
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,637.854659491342,622.742139063498,2994.34254448509,3218.37270660563,3525.80474671153,3681.8574560431,3838.18580148382,3986.23162376713,3607.29669672271,3591.82927553023,3914.5012684128,4212.07094272937
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,12307.3117378314,20620.7006259175,24630.4537141023,23512.6025956397,24985.9932813737,24713.6980451285,25025.0995629083,25533.5697803984,25796.3802506382,25239.6004109932,25630.2664922069,..
